Id,SalePrice
1461,131663.9245333334
1462,146519.65913333336
1463,181864.37089999998
1464,194162.3088666666
1465,208784.75003333334
1466,187306.62400000004
1467,183121.82843333334
1468,178950.83070000005
1469,191629.39183333341
1470,128534.71369999998
1471,206561.74650000004
1472,101491.68846666669
1473,109718.40320000004
1474,154652.0936333333
1475,138694.9549
1476,395332.2430999999
1477,255293.21603333336
1478,318481.83683333336
1479,320571.4507333335
1480,407072.1412000002
1481,311208.9971666666
1482,215737.75803333338
1483,188874.7302
1484,186829.69376666666
1485,192289.22687142855
1486,202430.98939999996
1487,299912.3668999999
1488,248415.78883333338
1489,220091.7579666666
1490,220152.60286666665
1491,202166.4844
1492,101293.11783333332
1493,200206.0031
1494,298365.45016666665
1495,283000.57453333336
1496,230337.98073333336
1497,190180.32576666665
1498,164920.31592857142
1499,163641.81128571424
1500,166924.11541904765
1501,168620.74103333335
1502,178828.88963333334
1503,297811.3057333335
1504,241925.82260000004
1505,221763.87029999998
1506,172857.09119999997
1507,232246.64036666666
1508,194824.1012333333
1509,157963.1289666667
1510,146328.82356666666
1511,143678.00050000002
1512,159340.01693333333
1513,157163.98803333336
1514,149468.73803333333
1515,182140.45113333335
1516,160693.51460000002
1517,164974.4368333333
1518,134717.4344666667
1519,227957.47156666662
1520,137314.3423333333
1521,140812.9535
1522,161284.16173333337
1523,116712.35006666667
1524,119249.32836666668
1525,122655.46653333335
1526,122947.41210000002
1527,114576.19943333336
1528,129209.76339999998
1529,139834.92210000003
1530,165717.55919999993
1531,143116.8063333333
1532,111058.10373333334
1533,134180.3310666667
1534,121301.96960000001
1535,150513.0792333333
1536,120594.5492333333
1537,124334.82390000002
1538,173161.49431428572
1539,220905.2943
1540,105305.59573333332
1541,136125.8164333333
1542,134844.84415238092
1543,186712.84084285708
1544,85723.60903333334
1545,114347.75879999997
1546,142531.45039999997
1547,139519.61553333333
1548,126647.15636666669
1549,123842.42259999999
1550,137459.4035333333
1551,122765.08796666666
1552,135630.9728333333
1553,136435.78563333332
1554,126065.1183666667
1555,177542.09266666672
